"Datum","EAN","Verbruik","Type","Piek"
"2022-01-03T05:00:00+01:00","871687120061402458","0.327","Elektriciteit","false"
"2022-01-03T06:00:00+01:00","871687120061402458","0.237","Elektriciteit","false"
"2022-01-03T07:00:00+01:00","871687120061402458","0.58","Elektriciteit","true"
"2022-01-03T08:00:00+01:00","871687120061402458","0.406","Elektriciteit","true"
"2022-01-03T09:00:00+01:00","871687120061402458","0.458","Elektriciteit","true"
"2022-01-03T10:00:00+01:00","871687120061402458","0.563","Elektriciteit","true"
"2022-01-03T11:00:00+01:00","871687120061402458","0.59","Elektriciteit","true"
"2022-01-03T12:00:00+01:00","871687120061402458","0.743","Elektriciteit","true"
"2022-01-03T13:00:00+01:00","871687120061402458","0.501","Elektriciteit","true"
"2022-01-03T14:00:00+01:00","871687120061402458","0.45","Elektriciteit","true"
"2022-01-03T15:00:00+01:00","871687120061402458","0.483","Elektriciteit","true"
"2022-01-03T16:00:00+01:00","871687120061402458","0.919","Elektriciteit","true"
"2022-01-03T17:00:00+01:00","871687120061402458","0.802","Elektriciteit","true"
"2022-01-03T18:00:00+01:00","871687120061402458","0.67","Elektriciteit","true"
"2022-01-03T19:00:00+01:00","871687120061402458","0.734","Elektriciteit","true"
"2022-01-03T20:00:00+01:00","871687120061402458","1.364","Elektriciteit","true"
"2022-01-03T21:00:00+01:00","871687120061402458","0.861","Elektriciteit","true"
"2022-01-03T22:00:00+01:00","871687120061402458","0.751","Elektriciteit","true"
"2022-01-03T23:00:00+01:00","871687120061402458","0.606","Elektriciteit","false"
"2022-01-04T00:00:00+01:00","871687120061402458","0.614","Elektriciteit","false"
"2022-01-04T01:00:00+01:00","871687120061402458","0.421","Elektriciteit","false"
"2022-01-04T02:00:00+01:00","871687120061402458","0.266","Elektriciteit","false"
"2022-01-04T03:00:00+01:00","871687120061402458","0.3","Elektriciteit","false"
"2022-01-04T04:00:00+01:00","871687120061402458","0.311","Elektriciteit","false"
"2022-01-04T05:00:00+01:00","871687120061402458","0.291","Elektriciteit","false"
"2022-01-04T06:00:00+01:00","871687120061402458","0.27","Elektriciteit","false"
"2022-01-04T07:00:00+01:00","871687120061402458","0.629","Elektriciteit","true"
