Vanaf;Tot;Verbruik laag tarief;Verbruik hoog tarief;Teruglevering laag tarief;Teruglevering hoog tarief;Totaal;
2014-08-05 00:00;2014-08-06 00:00;3,69500;1,20100;0,00000;-6,81200;-1,91600;
2014-08-06 00:00;2014-08-07 00:00;3,69900;1,93200;0,00000;-1,37300;4,25800;
2014-08-07 00:00;2014-08-08 00:00;3,67500;1,40100;0,00000;-6,87600;-1,80000;
2014-08-08 00:00;2014-08-09 00:00;3,72200;1,98500;0,00000;-0,86900;4,83800;
2014-08-09 00:00;2014-08-10 00:00;4,33900;0,00000;-7,90900;0,00000;-3,57000;
2014-08-10 00:00;2014-08-11 00:00;4,32700;0,00000;-3,30800;0,00000;1,01900;
2014-08-11 00:00;2014-08-12 00:00;3,01500;0,99700;0,00000;-8,44100;-4,42900;
2014-08-12 00:00;2014-08-13 00:00;2,99100;1,09600;0,00000;-5,42700;-1,34000;
2014-08-13 00:00;2014-08-14 00:00;2,97700;0,88100;0,00000;-8,23300;-4,37500;
2014-08-14 00:00;2014-08-15 00:00;7,67100;2,96300;0,00000;-3,00000;7,63400;
2014-08-15 00:00;2014-08-16 00:00;5,74900;10,47100;0,00000;-1,76600;14,45400;
2014-08-16 00:00;2014-08-17 00:00;14,02000;0,00000;-2,90700;0,00000;11,11300;
2014-08-17 00:00;2014-08-18 00:00;10,37600;0,00000;-1,06100;0,00000;9,31500;
2014-08-18 00:00;2014-08-19 00:00;4,44700;4,49800;0,00000;-4,94900;3,99600;
2014-08-19 00:00;2014-08-20 00:00;3,31800;1,37600;0,00000;-4,57400;0,12000;
2014-08-20 00:00;2014-08-21 00:00;3,16700;7,13800;0,00000;-3,62800;6,67700;
2014-08-21 00:00;2014-08-22 00:00;3,41000;2,90400;0,00000;-7,08900;-0,77500;
2014-08-22 00:00;2014-08-23 00:00;3,00300;1,13800;0,00000;-2,80400;1,33700;
2014-08-23 00:00;2014-08-24 00:00;6,50300;0,00000;-5,88800;0,00000;0,61500;
2014-08-24 00:00;2014-08-25 00:00;9,90700;0,00000;-5,19400;0,00000;4,71300;
2014-08-25 00:00;2014-08-26 00:00;6,65700;3,58100;0,00000;-1,58300;8,65500;
2014-08-26 00:00;2014-08-27 00:00;3,78900;4,30100;0,00000;-0,16800;7,92200;
2014-08-27 00:00;2014-08-28 00:00;4,41800;7,18800;0,00000;-8,47100;3,13500;
2014-08-28 00:00;2014-08-29 00:00;5,06400;1,09100;0,00000;-3,31600;2,83900;
2014-08-29 00:00;2014-08-30 00:00;5,77600;4,60200;0,00000;-5,50600;4,87200;
2014-08-30 00:00;2014-08-31 00:00;9,67200;0,00000;-0,10900;0,00000;9,56300;
2014-08-31 00:00;2014-09-01 00:00;11,51100;0,00000;-3,20600;0,00000;8,30500;
2014-09-01 00:00;2014-09-02 00:00;2,83800;1,88600;0,00000;-4,30100;0,42300;
2014-09-02 00:00;2014-09-03 00:00;2,25900;0,81800;0,00000;-8,07900;-5,00200;
2014-09-03 00:00;2014-09-04 00:00;2,85800;0,81200;0,00000;-8,00000;-4,33000;
2014-09-04 00:00;2014-09-05 00:00;2,66700;2,55300;0,00000;-6,55800;-1,33800;
2014-09-05 00:00;2014-09-06 00:00;2,31400;0,93500;0,00000;-4,46900;-1,22000;
2014-09-06 00:00;2014-09-07 00:00;3,43000;0,00000;-4,10300;0,00000;-0,67300;
2014-09-07 00:00;2014-09-08 00:00;4,04500;0,00000;-5,04500;0,00000;-1,00000;
2014-09-08 00:00;2014-09-09 00:00;2,98200;0,97400;0,00000;-5,87600;-1,92000;
2014-09-09 00:00;2014-09-10 00:00;2,35700;3,57300;0,00000;-2,68500;3,24500;
2014-09-10 00:00;2014-09-11 00:00;2,93300;5,46300;0,00000;-1,36700;7,02900;
2014-09-11 00:00;2014-09-12 00:00;3,15600;1,36200;0,00000;-5,62000;-1,10200;
2014-09-12 00:00;2014-09-13 00:00;4,76900;2,66200;0,00000;-7,41300;0,01800;
2014-09-13 00:00;2014-09-14 00:00;6,87400;0,00000;-3,38000;0,00000;3,49400;
2014-09-14 00:00;2014-09-15 00:00;5,22400;0,00000;-4,03400;0,00000;1,19000;
2014-09-15 00:00;2014-09-16 00:00;2,48200;1,19700;0,00000;-5,02600;-1,34700;
2014-09-16 00:00;2014-09-17 00:00;2,43800;0,99900;0,00000;-5,00400;-1,56700;
2014-09-17 00:00;2014-09-18 00:00;2,46900;1,17700;0,00000;-7,76100;-4,11500;
2014-09-18 00:00;2014-09-19 00:00;2,47700;1,18200;0,00000;-4,53100;-0,87200;
2014-09-19 00:00;2014-09-20 00:00;6,96100;3,56200;0,00000;-3,58200;6,94100;
2014-09-20 00:00;2014-09-21 00:00;22,91600;0,00000;-1,09100;0,00000;21,82500;
2014-09-21 00:00;2014-09-22 00:00;10,59000;0,00000;-3,07800;0,00000;7,51200;
2014-09-22 00:00;2014-09-23 00:00;4,32100;3,83900;0,00000;-3,91200;4,24800;
2014-09-23 00:00;2014-09-24 00:00;4,55200;5,88900;0,00000;-4,44500;5,99600;
2014-09-24 00:00;2014-09-25 00:00;8,17400;5,19200;0,00000;-0,47400;12,89200;
2014-09-25 00:00;2014-09-26 00:00;4,26000;3,21700;0,00000;-4,28000;3,19700;
2014-09-26 00:00;2014-09-27 00:00;4,32100;5,04800;0,00000;-0,15300;9,21600;
2014-09-27 00:00;2014-09-28 00:00;6,10200;0,00000;-4,26000;0,00000;1,84200;
2014-09-28 00:00;2014-09-29 00:00;13,91100;0,00000;-3,52800;0,00000;10,38300;
2014-09-29 00:00;2014-09-30 00:00;5,24300;3,85900;0,00000;-0,58900;8,51300;
2014-09-30 00:00;2014-10-01 00:00;4,16900;6,08400;0,00000;-2,79100;7,46200;
2014-10-01 00:00;2014-10-02 00:00;4,79800;15,92500;0,00000;-1,79800;18,92500;
2014-10-02 00:00;2014-10-03 00:00;3,98000;6,39900;0,00000;-1,80500;8,57400;
2014-10-03 00:00;2014-10-04 00:00;3,83900;3,60900;0,00000;-4,40400;3,04400;
2014-10-04 00:00;2014-10-05 00:00;5,06600;0,00000;-5,59000;0,00000;-0,52400;
2014-10-05 00:00;2014-10-06 00:00;12,84700;0,00000;-0,00300;0,00000;12,84400;
2014-10-06 00:00;2014-10-07 00:00;3,66200;5,22300;0,00000;-0,75400;8,13100;
