Date/Time,Energy Delivered (Wh)
06/27/2023,"19,929"
06/28/2023,"11,641"
06/29/2023,"12,501"
06/30/2023,"23,875"
07/01/2023,"14,193"
07/02/2023,"30,376"
07/03/2023,"24,753"
07/04/2023,"17,896"
07/05/2023,"28,773"
07/06/2023,"28,197"
07/07/2023,"33,957"
07/08/2023,"23,162"
07/09/2023,"15,700"
07/10/2023,"31,173"
07/11/2023,"26,776"
07/12/2023,"25,955"
07/13/2023,"28,676"
07/14/2023,"18,609"
07/15/2023,"24,314"
07/16/2023,"21,442"
07/17/2023,"23,507"
07/18/2023,"30,482"
07/19/2023,"20,487"
07/20/2023,"16,111"
07/21/2023,"27,110"
07/22/2023,"11,957"
07/23/2023,"15,301"
07/24/2023,"22,748"
07/25/2023,"26,608"
07/26/2023,"30,375"
07/27/2023,"6,247"
07/28/2023,"14,061"
07/29/2023,"25,093"
07/30/2023,"17,321"
07/31/2023,"6,213"
08/01/2023,"25,117"
08/02/2023,"16,229"
08/03/2023,"13,066"
08/04/2023,"25,662"
08/05/2023,"8,400"
08/06/2023,"15,026"
08/07/2023,"26,069"
08/08/2023,"18,776"
08/09/2023,"31,212"
08/10/2023,"31,831"
08/11/2023,"17,389"
08/12/2023,"26,296"
08/13/2023,"21,477"
08/14/2023,"27,489"
08/15/2023,"30,755"
08/16/2023,"26,513"
08/17/2023,"11,958"
08/18/2023,"24,769"
08/19/2023,"22,667"
08/20/2023,"26,757"
08/21/2023,"31,929"
08/22/2023,"24,508"
08/23/2023,"30,857"
08/24/2023,"12,052"
08/25/2023,"15,554"
08/26/2023,"18,553"
08/27/2023,"20,960"
08/28/2023,"16,847"
08/29/2023,"20,783"
08/30/2023,"19,342"
08/31/2023,"17,842"
09/01/2023,"13,317"
09/02/2023,"14,712"
09/03/2023,"27,748"
09/04/2023,"25,702"
09/05/2023,"29,298"
09/06/2023,"29,096"
09/07/2023,"29,430"
09/08/2023,"26,953"
09/09/2023,"27,574"
09/10/2023,"24,774"
09/11/2023,"15,941"
09/12/2023,"11,418"
