entity_id,state,last_changed
sensor.electricity_meter_feed_in_tariff_1,5249.4501953125,2023-01-12T09:59:28.000Z
sensor.electricity_meter_feed_in_tariff_1,5249.47021484375,2023-01-12T10:59:12.000Z
sensor.electricity_meter_feed_in_tariff_1,5249.47998046875,2023-01-12T11:58:56.000Z
sensor.electricity_meter_feed_in_tariff_1,5249.52978515625,2023-01-12T13:00:48.000Z
sensor.electricity_meter_feed_in_tariff_1,5251.6201171875,2023-01-12T14:00:32.000Z
sensor.electricity_meter_feed_in_tariff_1,5252.85986328125,2023-01-12T15:00:16.000Z
sensor.electricity_meter_feed_in_tariff_1,5254.8701171875,2023-01-12T16:00:00.000Z
sensor.electricity_meter_feed_in_tariff_1,5257.1201171875,2023-01-12T16:59:44.000Z
sensor.electricity_meter_feed_in_tariff_1,5259.169921875,2023-01-12T17:59:28.000Z
sensor.electricity_meter_feed_in_tariff_1,5261.25,2023-01-12T18:59:12.000Z
sensor.electricity_meter_feed_in_tariff_1,5262.7001953125,2023-01-12T20:01:04.000Z
sensor.electricity_meter_feed_in_tariff_1,5264.2001953125,2023-01-12T21:00:48.000Z
sensor.electricity_meter_feed_in_tariff_1,5264.25,2023-01-12T22:00:32.000Z
sensor.electricity_meter_feed_in_tariff_1,5264.25,2023-01-12T23:00:16.000Z
sensor.electricity_meter_feed_in_tariff_1,5264.52001953125,2023-01-13T06:00:32.000Z
sensor.electricity_meter_feed_in_tariff_1,5264.81005859375,2023-01-13T07:00:16.000Z
sensor.electricity_meter_feed_in_tariff_1,5265.9501953125,2023-01-13T08:00:00.000Z
sensor.electricity_meter_feed_in_tariff_1,5266.5,2023-01-13T08:59:44.000Z
sensor.electricity_meter_feed_in_tariff_1,5266.93994140625,2023-01-13T09:59:28.000Z
sensor.electricity_meter_feed_in_tariff_1,5267.2998046875,2023-01-13T10:59:12.000Z
sensor.electricity_meter_feed_in_tariff_1,5267.83984375,2023-01-13T12:01:04.000Z
sensor.electricity_meter_feed_in_tariff_1,5268.3701171875,2023-01-13T13:00:48.000Z
sensor.electricity_meter_feed_in_tariff_1,5268.81005859375,2023-01-13T14:00:32.000Z
sensor.electricity_meter_feed_in_tariff_1,5269.64013671875,2023-01-13T15:00:16.000Z
sensor.electricity_meter_feed_in_tariff_1,5271.740234375,2023-01-13T16:00:00.000Z
sensor.electricity_meter_feed_in_tariff_1,5274.08984375,2023-01-13T16:59:44.000Z
sensor.electricity_meter_feed_in_tariff_1,5275.77001953125,2023-01-13T17:59:28.000Z
sensor.electricity_meter_feed_in_tariff_1,5277.66015625,2023-01-13T18:59:12.000Z
sensor.electricity_meter_feed_in_tariff_1,5278.60986328125,2023-01-13T19:58:56.000Z
sensor.electricity_meter_feed_in_tariff_1,5279.5400390625,2023-01-13T21:00:48.000Z
sensor.electricity_meter_feed_in_tariff_1,5279.56005859375,2023-01-13T22:00:32.000Z
sensor.electricity_meter_feed_in_tariff_1,5279.56005859375,2023-01-13T23:00:16.000Z
sensor.electricity_meter_feed_in_tariff_1,5279.85009765625,2023-01-16T06:00:32.000Z
sensor.electricity_meter_feed_in_tariff_1,5280.6298828125,2023-01-16T07:00:16.000Z
sensor.electricity_meter_feed_in_tariff_1,5281.6298828125,2023-01-16T08:00:00.000Z
sensor.electricity_meter_feed_in_tariff_1,5282.22998046875,2023-01-16T08:59:44.000Z
sensor.electricity_meter_feed_in_tariff_1,5282.52001953125,2023-01-16T09:59:28.000Z
sensor.electricity_meter_feed_in_tariff_1,5283.39990234375,2023-01-16T10:59:12.000Z
sensor.electricity_meter_feed_in_tariff_1,5285.009765625,2023-01-16T11:58:56.000Z
sensor.electricity_meter_feed_in_tariff_1,5285.47998046875,2023-01-16T13:00:48.000Z
sensor.electricity_meter_feed_in_tariff_1,5286.10986328125,2023-01-16T14:00:32.000Z
sensor.electricity_meter_feed_in_tariff_1,5287.35986328125,2023-01-16T15:00:16.000Z
sensor.electricity_meter_feed_in_tariff_1,5289.64990234375,2023-01-16T16:00:00.000Z
sensor.electricity_meter_feed_in_tariff_1,5291.759765625,2023-01-16T16:59:44.000Z
sensor.electricity_meter_feed_in_tariff_1,5293.22021484375,2023-01-16T17:59:28.000Z
sensor.electricity_meter_feed_in_tariff_1,5295.009765625,2023-01-16T18:59:12.000Z
sensor.electricity_meter_feed_in_tariff_1,5296.08984375,2023-01-16T20:01:04.000Z
sensor.electricity_meter_feed_in_tariff_1,5297.33984375,2023-01-16T21:00:48.000Z
sensor.electricity_meter_feed_in_tariff_1,5297.35009765625,2023-01-16T22:00:32.000Z
sensor.electricity_meter_feed_in_tariff_1,5297.35009765625,2023-01-16T23:00:16.000Z
sensor.electricity_meter_feed_in_tariff_1,5297.68017578125,2023-01-17T06:00:32.000Z
sensor.electricity_meter_feed_in_tariff_1,5297.9599609375,2023-01-17T07:00:16.000Z
sensor.electricity_meter_feed_in_tariff_1,5298.72998046875,2023-01-17T08:00:00.000Z
sensor.electricity_meter_feed_in_tariff_1,5298.77001953125,2023-01-17T08:59:44.000Z
sensor.electricity_meter_feed_in_tariff_1,5298.81005859375,2023-01-17T09:59:28.000Z
sensor.electricity_meter_feed_in_tariff_1,5298.830078125,2023-01-17T10:59:12.000Z
sensor.electricity_meter_feed_in_tariff_1,5298.830078125,2023-01-17T12:01:04.000Z
sensor.electricity_meter_feed_in_tariff_1,5298.8798828125,2023-01-17T13:00:48.000Z
sensor.electricity_meter_feed_in_tariff_1,5299.43994140625,2023-01-17T14:00:32.000Z
sensor.electricity_meter_feed_in_tariff_1,5300.2998046875,2023-01-17T15:00:16.000Z
sensor.electricity_meter_feed_in_tariff_1,5302.2900390625,2023-01-17T16:00:00.000Z
sensor.electricity_meter_feed_in_tariff_1,5303.8798828125,2023-01-17T16:59:44.000Z
sensor.electricity_meter_feed_in_tariff_1,5305.14013671875,2023-01-17T17:59:28.000Z
sensor.electricity_meter_feed_in_tariff_1,5310.52978515625,2023-01-17T18:59:12.000Z
sensor.electricity_meter_feed_in_tariff_1,5321.259765625,2023-01-17T19:58:56.000Z
sensor.electricity_meter_feed_in_tariff_1,5323.06005859375,2023-01-17T21:00:48.000Z
sensor.electricity_meter_feed_in_tariff_1,5323.16015625,2023-01-17T22:00:32.000Z
sensor.electricity_meter_feed_in_tariff_1,5323.16015625,2023-01-17T23:00:16.000Z
sensor.electricity_meter_feed_in_tariff_1,5325.18994140625,2023-01-18T06:00:32.000Z
sensor.electricity_meter_feed_in_tariff_1,5329.89013671875,2023-01-18T07:00:16.000Z
