sep=,
Version CSV3|Tool WebUI|Linebreaks CR/LF|Delimiter comma

,STP6.0-3AV-40 033,STP6.0-3AV-40 033,STP6.0-3AV-40 033,STP6.0-3AV-40 033,STP6.0-3AV-40 033
,SUNNY TRIPOWER 6.0,SUNNY TRIPOWER 6.0,SUNNY TRIPOWER 6.0,SUNNY TRIPOWER 6.0,SUNNY TRIPOWER 6.0
,XXXXXXXXXX,XXXXXXXXXX,XXXXXXXXXX,XXXXXXXXXX,XXXXXXXXXX
,Metering.TotWhOut,Metering.GridMs.TotWhOut,Metering.GridMs.AbsWhOut,Metering.GridMs.TotWhIn,Metering.GridMs.AbsWhIn
,Analog,Analog,Analog,Analog,Analog
DD.MM.YYYY hh:mm:ss,[Wh],[Wh],[Wh],[Wh],[Wh]
24.10.2020 00:00:00,5712174,0,NaN,0,NaN
25.10.2020 00:00:00,5714222,0,NaN,0,NaN
26.10.2020 00:00:00,5720972,0,NaN,0,NaN
27.10.2020 00:00:00,5733331,0,NaN,0,NaN
28.10.2020 00:00:00,5744620,0,NaN,0,NaN
29.10.2020 00:00:00,5753406,0,NaN,0,NaN
30.10.2020 00:00:00,5756274,0,NaN,0,NaN
31.10.2020 00:00:00,5772835,0,NaN,0,NaN
01.11.2020 00:00:00,5778172,0,NaN,0,NaN
02.11.2020 00:00:00,5782444,0,NaN,0,NaN
03.11.2020 00:00:00,5786529,0,NaN,0,NaN
04.11.2020 00:00:00,5790811,0,NaN,0,NaN
05.11.2020 00:00:00,5798550,0,NaN,0,NaN
06.11.2020 00:00:00,5801567,0,NaN,0,NaN
07.11.2020 00:00:00,5805038,0,NaN,0,NaN
08.11.2020 00:00:00,5817070,0,NaN,0,NaN
09.11.2020 00:00:00,5839368,0,NaN,0,NaN
10.11.2020 00:00:00,5858575,0,NaN,0,NaN
11.11.2020 00:00:00,5878767,0,NaN,0,NaN
12.11.2020 00:00:00,5894962,0,NaN,0,NaN
13.11.2020 00:00:00,5900669,0,NaN,0,NaN
