From (date);From (time);Until (date);Until (time);EAN code;Meter;Meter type;Register;Volume;Unit;Validation status;Caloric upper value;Description
24/10/2023;03:00:00;24/10/2023;04:00:00;="123456879123456789";7MIT1234567890;Digital meter;Offtake;0,000;kWh;Read;;
24/10/2023;04:00:00;24/10/2023;05:00:00;="123456879123456789";7MIT1234567890;Digital meter;Offtake;0,000;m³;Read;;
24/10/2023;04:00:00;24/10/2023;05:00:00;="123456879123456789";7MIT1234567890;Digital meter;Offtake;0,000;kWh;Read;;
24/10/2023;05:00:00;24/10/2023;06:00:00;="123456879123456789";7MIT1234567890;Digital meter;Offtake;0,973;m³;Read;;
24/10/2023;05:00:00;24/10/2023;06:00:00;="123456879123456789";7MIT1234567890;Digital meter;Offtake;11,026;kWh;Read;;
24/10/2023;06:00:00;24/10/2023;07:00:00;="123456879123456789";7MIT1234567890;Digital meter;Offtake;0,456;m³;Read;;
24/10/2023;06:00:00;24/10/2023;07:00:00;="123456879123456789";7MIT1234567890;Digital meter;Offtake;5,167;kWh;Read;;
24/10/2023;07:00:00;24/10/2023;08:00:00;="123456879123456789";7MIT1234567890;Digital meter;Offtake;0,310;m³;Read;;
24/10/2023;07:00:00;24/10/2023;08:00:00;="123456879123456789";7MIT1234567890;Digital meter;Offtake;3,513;kWh;Read;;
24/10/2023;08:00:00;24/10/2023;09:00:00;="123456879123456789";7MIT1234567890;Digital meter;Offtake;0,225;m³;Read;;
24/10/2023;08:00:00;24/10/2023;09:00:00;="123456879123456789";7MIT1234567890;Digital meter;Offtake;2,550;kWh;Read;;
24/10/2023;09:00:00;24/10/2023;10:00:00;="123456879123456789";7MIT1234567890;Digital meter;Offtake;0,000;m³;Read;;
24/10/2023;09:00:00;24/10/2023;10:00:00;="123456879123456789";7MIT1234567890;Digital meter;Offtake;0,000;kWh;Read;;
24/10/2023;10:00:00;24/10/2023;11:00:00;="123456879123456789";7MIT1234567890;Digital meter;Offtake;0,000;m³;Read;;
24/10/2023;10:00:00;24/10/2023;11:00:00;="123456879123456789";7MIT1234567890;Digital meter;Offtake;0,000;kWh;Read;;
24/10/2023;11:00:00;24/10/2023;12:00:00;="123456879123456789";7MIT1234567890;Digital meter;Offtake;0,000;m³;Read;;
24/10/2023;11:00:00;24/10/2023;12:00:00;="123456879123456789";7MIT1234567890;Digital meter;Offtake;0,000;kWh;Read;;
24/10/2023;12:00:00;24/10/2023;13:00:00;="123456879123456789";7MIT1234567890;Digital meter;Offtake;0,922;m³;Read;;
24/10/2023;12:00:00;24/10/2023;13:00:00;="123456879123456789";7MIT1234567890;Digital meter;Offtake;10,448;kWh;Read;;
24/10/2023;13:00:00;24/10/2023;14:00:00;="123456879123456789";7MIT1234567890;Digital meter;Offtake;0,031;m³;Read;;
24/10/2023;13:00:00;24/10/2023;14:00:00;="123456879123456789";7MIT1234567890;Digital meter;Offtake;0,351;kWh;Read;;
24/10/2023;14:00:00;24/10/2023;15:00:00;="123456879123456789";7MIT1234567890;Digital meter;Offtake;0,000;m³;Read;;
24/10/2023;14:00:00;24/10/2023;15:00:00;="123456879123456789";7MIT1234567890;Digital meter;Offtake;0,000;kWh;Read;;
24/10/2023;15:00:00;24/10/2023;16:00:00;="123456879123456789";7MIT1234567890;Digital meter;Offtake;0,000;m³;Read;;
24/10/2023;15:00:00;24/10/2023;16:00:00;="123456879123456789";7MIT1234567890;Digital meter;Offtake;0,000;kWh;Read;;
24/10/2023;16:00:00;24/10/2023;17:00:00;="123456879123456789";7MIT1234567890;Digital meter;Offtake;0,000;m³;Read;;
24/10/2023;16:00:00;24/10/2023;17:00:00;="123456879123456789";7MIT1234567890;Digital meter;Offtake;0,000;kWh;Read;;
24/10/2023;17:00:00;24/10/2023;18:00:00;="123456879123456789";7MIT1234567890;Digital meter;Offtake;0,000;m³;Read;;
24/10/2023;17:00:00;24/10/2023;18:00:00;="123456879123456789";7MIT1234567890;Digital meter;Offtake;0,000;kWh;Read;;
24/10/2023;18:00:00;24/10/2023;19:00:00;="123456879123456789";7MIT1234567890;Digital meter;Offtake;0,254;m³;Read;;
24/10/2023;18:00:00;24/10/2023;19:00:00;="123456879123456789";7MIT1234567890;Digital meter;Offtake;2,878;kWh;Read;;
24/10/2023;19:00:00;24/10/2023;20:00:00;="123456879123456789";7MIT1234567890;Digital meter;Offtake;0,339;m³;Read;;
24/10/2023;19:00:00;24/10/2023;20:00:00;="123456879123456789";7MIT1234567890;Digital meter;Offtake;3,842;kWh;Read;;
24/10/2023;20:00:00;24/10/2023;21:00:00;="123456879123456789";7MIT1234567890;Digital meter;Offtake;0,000;m³;Read;;
24/10/2023;20:00:00;24/10/2023;21:00:00;="123456879123456789";7MIT1234567890;Digital meter;Offtake;0,000;kWh;Read;;
24/10/2023;21:00:00;24/10/2023;22:00:00;="123456879123456789";7MIT1234567890;Digital meter;Offtake;0,000;m³;Read;;
24/10/2023;21:00:00;24/10/2023;22:00:00;="123456879123456789";7MIT1234567890;Digital meter;Offtake;0,000;kWh;Read;;
24/10/2023;22:00:00;24/10/2023;23:00:00;="123456879123456789";7MIT1234567890;Digital meter;Offtake;0,423;m³;Read;;
24/10/2023;22:00:00;24/10/2023;23:00:00;="123456879123456789";7MIT1234567890;Digital meter;Offtake;4,793;kWh;Read;;
24/10/2023;23:00:00;25/10/2023;00:00:00;="123456879123456789";7MIT1234567890;Digital meter;Offtake;0,000;m³;Read;;
24/10/2023;23:00:00;25/10/2023;00:00:00;="123456879123456789";7MIT1234567890;Digital meter;Offtake;0,000;kWh;Read;;
25/10/2023;00:00:00;25/10/2023;01:00:00;="123456879123456789";7MIT1234567890;Digital meter;Offtake;0,000;m³;Read;;
25/10/2023;00:00:00;25/10/2023;01:00:00;="123456879123456789";7MIT1234567890;Digital meter;Offtake;0,000;kWh;Read;;
25/10/2023;01:00:00;25/10/2023;02:00:00;="123456879123456789";7MIT1234567890;Digital meter;Offtake;0,000;m³;Read;;
25/10/2023;01:00:00;25/10/2023;02:00:00;="123456879123456789";7MIT1234567890;Digital meter;Offtake;0,000;kWh;Read;;
25/10/2023;02:00:00;25/10/2023;03:00:00;="123456879123456789";7MIT1234567890;Digital meter;Offtake;0,000;m³;Read;;
25/10/2023;02:00:00;25/10/2023;03:00:00;="123456879123456789";7MIT1234567890;Digital meter;Offtake;0,000;kWh;Read;;
25/10/2023;03:00:00;25/10/2023;04:00:00;="123456879123456789";7MIT1234567890;Digital meter;Offtake;0,000;m³;Read;;
25/10/2023;03:00:00;25/10/2023;04:00:00;="123456879123456789";7MIT1234567890;Digital meter;Offtake;0,000;kWh;Read;;
25/10/2023;04:00:00;25/10/2023;05:00:00;="123456879123456789";7MIT1234567890;Digital meter;Offtake;0,000;m³;Read;;
25/10/2023;04:00:00;25/10/2023;05:00:00;="123456879123456789";7MIT1234567890;Digital meter;Offtake;0,000;kWh;Read;;
25/10/2023;05:00:00;25/10/2023;06:00:00;="123456879123456789";7MIT1234567890;Digital meter;Offtake;1,002;m³;Read;;
25/10/2023;05:00:00;25/10/2023;06:00:00;="123456879123456789";7MIT1234567890;Digital meter;Offtake;11,355;kWh;Read;;
25/10/2023;06:00:00;25/10/2023;07:00:00;="123456879123456789";7MIT1234567890;Digital meter;Offtake;0,937;m³;Read;;
25/10/2023;06:00:00;25/10/2023;07:00:00;="123456879123456789";7MIT1234567890;Digital meter;Offtake;10,618;kWh;Read;;
25/10/2023;07:00:00;25/10/2023;08:00:00;="123456879123456789";7MIT1234567890;Digital meter;Offtake;0,132;m³;Read;;
25/10/2023;07:00:00;25/10/2023;08:00:00;="123456879123456789";7MIT1234567890;Digital meter;Offtake;1,496;kWh;Read;;
25/10/2023;08:00:00;25/10/2023;09:00:00;="123456879123456789";7MIT1234567890;Digital meter;Offtake;0,000;m³;Read;;
25/10/2023;08:00:00;25/10/2023;09:00:00;="123456879123456789";7MIT1234567890;Digital meter;Offtake;0,000;kWh;Read;;
25/10/2023;09:00:00;25/10/2023;10:00:00;="123456879123456789";7MIT1234567890;Digital meter;Offtake;0,000;m³;Read;;
25/10/2023;09:00:00;25/10/2023;10:00:00;="123456879123456789";7MIT1234567890;Digital meter;Offtake;0,000;kWh;Read;;
25/10/2023;10:00:00;25/10/2023;11:00:00;="123456879123456789";7MIT1234567890;Digital meter;Offtake;0,000;m³;Read;;
25/10/2023;10:00:00;25/10/2023;11:00:00;="123456879123456789";7MIT1234567890;Digital meter;Offtake;0,000;kWh;Read;;
25/10/2023;11:00:00;25/10/2023;12:00:00;="123456879123456789";7MIT1234567890;Digital meter;Offtake;0,000;m³;Read;;
25/10/2023;11:00:00;25/10/2023;12:00:00;="123456879123456789";7MIT1234567890;Digital meter;Offtake;0,000;kWh;Read;;
25/10/2023;12:00:00;25/10/2023;13:00:00;="123456879123456789";7MIT1234567890;Digital meter;Offtake;0,000;m³;Read;;
25/10/2023;12:00:00;25/10/2023;13:00:00;="123456879123456789";7MIT1234567890;Digital meter;Offtake;0,000;kWh;Read;;
25/10/2023;13:00:00;25/10/2023;14:00:00;="123456879123456789";7MIT1234567890;Digital meter;Offtake;0,922;m³;Read;;
25/10/2023;13:00:00;25/10/2023;14:00:00;="123456879123456789";7MIT1234567890;Digital meter;Offtake;10,448;kWh;Read;;
25/10/2023;14:00:00;25/10/2023;15:00:00;="123456879123456789";7MIT1234567890;Digital meter;Offtake;0,000;m³;Read;;
25/10/2023;14:00:00;25/10/2023;15:00:00;="123456879123456789";7MIT1234567890;Digital meter;Offtake;0,000;kWh;Read;;
25/10/2023;15:00:00;25/10/2023;16:00:00;="123456879123456789";7MIT1234567890;Digital meter;Offtake;0,214;m³;Read;;
25/10/2023;15:00:00;25/10/2023;16:00:00;="123456879123456789";7MIT1234567890;Digital meter;Offtake;2,425;kWh;Read;;
25/10/2023;16:00:00;25/10/2023;17:00:00;="123456879123456789";7MIT1234567890;Digital meter;Offtake;0,041;m³;Read;;
25/10/2023;16:00:00;25/10/2023;17:00:00;="123456879123456789";7MIT1234567890;Digital meter;Offtake;0,465;kWh;Read;;
25/10/2023;17:00:00;25/10/2023;18:00:00;="123456879123456789";7MIT1234567890;Digital meter;Offtake;0,000;m³;Read;;
25/10/2023;17:00:00;25/10/2023;18:00:00;="123456879123456789";7MIT1234567890;Digital meter;Offtake;0,000;kWh;Read;;
25/10/2023;18:00:00;25/10/2023;19:00:00;="123456879123456789";7MIT1234567890;Digital meter;Offtake;0,000;m³;Read;;
25/10/2023;18:00:00;25/10/2023;19:00:00;="123456879123456789";7MIT1234567890;Digital meter;Offtake;0,000;kWh;Read;;
25/10/2023;19:00:00;25/10/2023;20:00:00;="123456879123456789";7MIT1234567890;Digital meter;Offtake;0,000;m³;Read;;
25/10/2023;19:00:00;25/10/2023;20:00:00;="123456879123456789";7MIT1234567890;Digital meter;Offtake;0,000;kWh;Read;;
25/10/2023;20:00:00;25/10/2023;21:00:00;="123456879123456789";7MIT1234567890;Digital meter;Offtake;0,000;m³;Read;;
25/10/2023;20:00:00;25/10/2023;21:00:00;="123456879123456789";7MIT1234567890;Digital meter;Offtake;0,000;kWh;Read;;
25/10/2023;21:00:00;25/10/2023;22:00:00;="123456879123456789";7MIT1234567890;Digital meter;Offtake;0,000;m³;Read;;
25/10/2023;21:00:00;25/10/2023;22:00:00;="123456879123456789";7MIT1234567890;Digital meter;Offtake;0,000;kWh;Read;;
25/10/2023;22:00:00;25/10/2023;23:00:00;="123456879123456789";7MIT1234567890;Digital meter;Offtake;0,564;m³;Read;;
25/10/2023;22:00:00;25/10/2023;23:00:00;="123456879123456789";7MIT1234567890;Digital meter;Offtake;6,391;kWh;Read;;
25/10/2023;23:00:00;26/10/2023;00:00:00;="123456879123456789";7MIT1234567890;Digital meter;Offtake;0,000;m³;Read;;
25/10/2023;23:00:00;26/10/2023;00:00:00;="123456879123456789";7MIT1234567890;Digital meter;Offtake;0,000;kWh;Read;;
26/10/2023;00:00:00;26/10/2023;01:00:00;="123456879123456789";7MIT1234567890;Digital meter;Offtake;0,000;m³;Read;;
26/10/2023;00:00:00;26/10/2023;01:00:00;="123456879123456789";7MIT1234567890;Digital meter;Offtake;0,000;kWh;Read;;
26/10/2023;01:00:00;26/10/2023;02:00:00;="123456879123456789";7MIT1234567890;Digital meter;Offtake;0,000;m³;Read;;
26/10/2023;01:00:00;26/10/2023;02:00:00;="123456879123456789";7MIT1234567890;Digital meter;Offtake;0,000;kWh;Read;;
26/10/2023;02:00:00;26/10/2023;03:00:00;="123456879123456789";7MIT1234567890;Digital meter;Offtake;0,000;m³;Read;;
26/10/2023;02:00:00;26/10/2023;03:00:00;="123456879123456789";7MIT1234567890;Digital meter;Offtake;0,000;kWh;Read;;
26/10/2023;03:00:00;26/10/2023;04:00:00;="123456879123456789";7MIT1234567890;Digital meter;Offtake;0,000;m³;Read;;
26/10/2023;03:00:00;26/10/2023;04:00:00;="123456879123456789";7MIT1234567890;Digital meter;Offtake;0,000;kWh;Read;;
26/10/2023;04:00:00;26/10/2023;05:00:00;="123456879123456789";7MIT1234567890;Digital meter;Offtake;0,000;m³;Read;;
26/10/2023;04:00:00;26/10/2023;05:00:00;="123456879123456789";7MIT1234567890;Digital meter;Offtake;0,000;kWh;Read;;
