From (date);From (time);Until (date);Until (time);EAN code;Meter;Meter type;Register;Volume;Unit;Validation status;Description
22/10/2023;15:30:00;22/10/2023;15:45:00;="123456879123456789";1SAG1234567890;Digital meter;Offtake Night;0,008;kWh;Read;
22/10/2023;15:30:00;22/10/2023;15:45:00;="123456879123456789";1SAG1234567890;Digital meter;Injection Night;0,499;kWh;Read;
22/10/2023;15:45:00;22/10/2023;16:00:00;="123456879123456789";1SAG1234567890;Digital meter;Offtake Night;0,051;kWh;Read;
22/10/2023;15:45:00;22/10/2023;16:00:00;="123456879123456789";1SAG1234567890;Digital meter;Injection Night;0,135;kWh;Read;
22/10/2023;16:00:00;22/10/2023;16:15:00;="123456879123456789";1SAG1234567890;Digital meter;Offtake Night;0,011;kWh;Read;
22/10/2023;16:00:00;22/10/2023;16:15:00;="123456879123456789";1SAG1234567890;Digital meter;Injection Night;0,480;kWh;Read;
22/10/2023;16:15:00;22/10/2023;16:30:00;="123456879123456789";1SAG1234567890;Digital meter;Offtake Night;0,000;kWh;Read;
22/10/2023;16:15:00;22/10/2023;16:30:00;="123456879123456789";1SAG1234567890;Digital meter;Injection Night;0,514;kWh;Read;
22/10/2023;16:30:00;22/10/2023;16:45:00;="123456879123456789";1SAG1234567890;Digital meter;Offtake Night;0,010;kWh;Read;
22/10/2023;16:30:00;22/10/2023;16:45:00;="123456879123456789";1SAG1234567890;Digital meter;Injection Night;0,310;kWh;Read;
22/10/2023;16:45:00;22/10/2023;17:00:00;="123456879123456789";1SAG1234567890;Digital meter;Offtake Night;0,198;kWh;Read;
22/10/2023;16:45:00;22/10/2023;17:00:00;="123456879123456789";1SAG1234567890;Digital meter;Injection Night;0,000;kWh;Read;
22/10/2023;17:00:00;22/10/2023;17:15:00;="123456879123456789";1SAG1234567890;Digital meter;Offtake Night;0,254;kWh;Read;
22/10/2023;17:00:00;22/10/2023;17:15:00;="123456879123456789";1SAG1234567890;Digital meter;Injection Night;0,000;kWh;Read;
22/10/2023;17:15:00;22/10/2023;17:30:00;="123456879123456789";1SAG1234567890;Digital meter;Offtake Night;0,223;kWh;Read;
22/10/2023;17:15:00;22/10/2023;17:30:00;="123456879123456789";1SAG1234567890;Digital meter;Injection Night;0,000;kWh;Read;
22/10/2023;17:30:00;22/10/2023;17:45:00;="123456879123456789";1SAG1234567890;Digital meter;Offtake Night;0,234;kWh;Read;
22/10/2023;17:30:00;22/10/2023;17:45:00;="123456879123456789";1SAG1234567890;Digital meter;Injection Night;0,000;kWh;Read;
22/10/2023;17:45:00;22/10/2023;18:00:00;="123456879123456789";1SAG1234567890;Digital meter;Offtake Night;0,245;kWh;Read;
22/10/2023;17:45:00;22/10/2023;18:00:00;="123456879123456789";1SAG1234567890;Digital meter;Injection Night;0,000;kWh;Read;
22/10/2023;18:00:00;22/10/2023;18:15:00;="123456879123456789";1SAG1234567890;Digital meter;Offtake Night;0,627;kWh;Read;
22/10/2023;18:00:00;22/10/2023;18:15:00;="123456879123456789";1SAG1234567890;Digital meter;Injection Night;0,000;kWh;Read;
22/10/2023;18:15:00;22/10/2023;18:30:00;="123456879123456789";1SAG1234567890;Digital meter;Offtake Night;0,638;kWh;Read;
22/10/2023;18:15:00;22/10/2023;18:30:00;="123456879123456789";1SAG1234567890;Digital meter;Injection Night;0,000;kWh;Read;
22/10/2023;18:30:00;22/10/2023;18:45:00;="123456879123456789";1SAG1234567890;Digital meter;Offtake Night;0,806;kWh;Read;
22/10/2023;18:30:00;22/10/2023;18:45:00;="123456879123456789";1SAG1234567890;Digital meter;Injection Night;0,000;kWh;Read;
22/10/2023;18:45:00;22/10/2023;19:00:00;="123456879123456789";1SAG1234567890;Digital meter;Offtake Night;0,798;kWh;Read;
22/10/2023;18:45:00;22/10/2023;19:00:00;="123456879123456789";1SAG1234567890;Digital meter;Injection Night;0,000;kWh;Read;
22/10/2023;19:00:00;22/10/2023;19:15:00;="123456879123456789";1SAG1234567890;Digital meter;Offtake Night;0,421;kWh;Read;
22/10/2023;19:00:00;22/10/2023;19:15:00;="123456879123456789";1SAG1234567890;Digital meter;Injection Night;0,000;kWh;Read;
22/10/2023;19:15:00;22/10/2023;19:30:00;="123456879123456789";1SAG1234567890;Digital meter;Offtake Night;0,236;kWh;Read;
22/10/2023;19:15:00;22/10/2023;19:30:00;="123456879123456789";1SAG1234567890;Digital meter;Injection Night;0,000;kWh;Read;
22/10/2023;19:30:00;22/10/2023;19:45:00;="123456879123456789";1SAG1234567890;Digital meter;Offtake Night;0,231;kWh;Read;
22/10/2023;19:30:00;22/10/2023;19:45:00;="123456879123456789";1SAG1234567890;Digital meter;Injection Night;0,000;kWh;Read;
22/10/2023;19:45:00;22/10/2023;20:00:00;="123456879123456789";1SAG1234567890;Digital meter;Offtake Night;0,230;kWh;Read;
22/10/2023;19:45:00;22/10/2023;20:00:00;="123456879123456789";1SAG1234567890;Digital meter;Injection Night;0,000;kWh;Read;
22/10/2023;20:00:00;22/10/2023;20:15:00;="123456879123456789";1SAG1234567890;Digital meter;Offtake Night;0,277;kWh;Read;
22/10/2023;20:00:00;22/10/2023;20:15:00;="123456879123456789";1SAG1234567890;Digital meter;Injection Night;0,000;kWh;Read;
22/10/2023;20:15:00;22/10/2023;20:30:00;="123456879123456789";1SAG1234567890;Digital meter;Offtake Night;0,621;kWh;Read;
22/10/2023;20:15:00;22/10/2023;20:30:00;="123456879123456789";1SAG1234567890;Digital meter;Injection Night;0,000;kWh;Read;
22/10/2023;20:30:00;22/10/2023;20:45:00;="123456879123456789";1SAG1234567890;Digital meter;Offtake Night;0,279;kWh;Read;
22/10/2023;20:30:00;22/10/2023;20:45:00;="123456879123456789";1SAG1234567890;Digital meter;Injection Night;0,000;kWh;Read;
22/10/2023;20:45:00;22/10/2023;21:00:00;="123456879123456789";1SAG1234567890;Digital meter;Offtake Night;0,260;kWh;Read;
22/10/2023;20:45:00;22/10/2023;21:00:00;="123456879123456789";1SAG1234567890;Digital meter;Injection Night;0,000;kWh;Read;
22/10/2023;21:00:00;22/10/2023;21:15:00;="123456879123456789";1SAG1234567890;Digital meter;Offtake Night;0,678;kWh;Read;
22/10/2023;21:00:00;22/10/2023;21:15:00;="123456879123456789";1SAG1234567890;Digital meter;Injection Night;0,000;kWh;Read;
22/10/2023;21:15:00;22/10/2023;21:30:00;="123456879123456789";1SAG1234567890;Digital meter;Offtake Night;0,237;kWh;Read;
22/10/2023;21:15:00;22/10/2023;21:30:00;="123456879123456789";1SAG1234567890;Digital meter;Injection Night;0,000;kWh;Read;
22/10/2023;21:30:00;22/10/2023;21:45:00;="123456879123456789";1SAG1234567890;Digital meter;Offtake Night;0,239;kWh;Read;
22/10/2023;21:30:00;22/10/2023;21:45:00;="123456879123456789";1SAG1234567890;Digital meter;Injection Night;0,000;kWh;Read;
22/10/2023;21:45:00;22/10/2023;22:00:00;="123456879123456789";1SAG1234567890;Digital meter;Offtake Night;0,263;kWh;Read;
22/10/2023;21:45:00;22/10/2023;22:00:00;="123456879123456789";1SAG1234567890;Digital meter;Injection Night;0,000;kWh;Read;
22/10/2023;22:00:00;22/10/2023;22:15:00;="123456879123456789";1SAG1234567890;Digital meter;Offtake Night;0,250;kWh;Read;
22/10/2023;22:00:00;22/10/2023;22:15:00;="123456879123456789";1SAG1234567890;Digital meter;Injection Night;0,000;kWh;Read;
22/10/2023;22:15:00;22/10/2023;22:30:00;="123456879123456789";1SAG1234567890;Digital meter;Offtake Night;0,213;kWh;Read;
22/10/2023;22:15:00;22/10/2023;22:30:00;="123456879123456789";1SAG1234567890;Digital meter;Injection Night;0,000;kWh;Read;
22/10/2023;22:30:00;22/10/2023;22:45:00;="123456879123456789";1SAG1234567890;Digital meter;Offtake Night;0,238;kWh;Read;
22/10/2023;22:30:00;22/10/2023;22:45:00;="123456879123456789";1SAG1234567890;Digital meter;Injection Night;0,000;kWh;Read;
22/10/2023;22:45:00;22/10/2023;23:00:00;="123456879123456789";1SAG1234567890;Digital meter;Offtake Night;0,218;kWh;Read;
22/10/2023;22:45:00;22/10/2023;23:00:00;="123456879123456789";1SAG1234567890;Digital meter;Injection Night;0,000;kWh;Read;
22/10/2023;23:00:00;22/10/2023;23:15:00;="123456879123456789";1SAG1234567890;Digital meter;Offtake Night;0,171;kWh;Read;
22/10/2023;23:00:00;22/10/2023;23:15:00;="123456879123456789";1SAG1234567890;Digital meter;Injection Night;0,000;kWh;Read;
22/10/2023;23:15:00;22/10/2023;23:30:00;="123456879123456789";1SAG1234567890;Digital meter;Offtake Night;0,146;kWh;Read;
22/10/2023;23:15:00;22/10/2023;23:30:00;="123456879123456789";1SAG1234567890;Digital meter;Injection Night;0,000;kWh;Read;
22/10/2023;23:30:00;22/10/2023;23:45:00;="123456879123456789";1SAG1234567890;Digital meter;Offtake Night;0,141;kWh;Read;
22/10/2023;23:30:00;22/10/2023;23:45:00;="123456879123456789";1SAG1234567890;Digital meter;Injection Night;0,000;kWh;Read;
22/10/2023;23:45:00;23/10/2023;00:00:00;="123456879123456789";1SAG1234567890;Digital meter;Offtake Night;0,136;kWh;Read;
22/10/2023;23:45:00;23/10/2023;00:00:00;="123456879123456789";1SAG1234567890;Digital meter;Injection Night;0,000;kWh;Read;
23/10/2023;00:00:00;23/10/2023;00:15:00;="123456879123456789";1SAG1234567890;Digital meter;Offtake Night;0,136;kWh;Read;
23/10/2023;00:00:00;23/10/2023;00:15:00;="123456879123456789";1SAG1234567890;Digital meter;Injection Night;0,000;kWh;Read;
23/10/2023;00:15:00;23/10/2023;00:30:00;="123456879123456789";1SAG1234567890;Digital meter;Offtake Night;0,132;kWh;Read;
23/10/2023;00:15:00;23/10/2023;00:30:00;="123456879123456789";1SAG1234567890;Digital meter;Injection Night;0,000;kWh;Read;
23/10/2023;00:30:00;23/10/2023;00:45:00;="123456879123456789";1SAG1234567890;Digital meter;Offtake Night;0,124;kWh;Read;
23/10/2023;00:30:00;23/10/2023;00:45:00;="123456879123456789";1SAG1234567890;Digital meter;Injection Night;0,000;kWh;Read;
23/10/2023;00:45:00;23/10/2023;01:00:00;="123456879123456789";1SAG1234567890;Digital meter;Offtake Night;0,140;kWh;Read;
23/10/2023;00:45:00;23/10/2023;01:00:00;="123456879123456789";1SAG1234567890;Digital meter;Injection Night;0,000;kWh;Read;
23/10/2023;01:00:00;23/10/2023;01:15:00;="123456879123456789";1SAG1234567890;Digital meter;Offtake Night;0,152;kWh;Read;
23/10/2023;01:00:00;23/10/2023;01:15:00;="123456879123456789";1SAG1234567890;Digital meter;Injection Night;0,000;kWh;Read;
23/10/2023;01:15:00;23/10/2023;01:30:00;="123456879123456789";1SAG1234567890;Digital meter;Offtake Night;0,116;kWh;Read;
23/10/2023;01:15:00;23/10/2023;01:30:00;="123456879123456789";1SAG1234567890;Digital meter;Injection Night;0,000;kWh;Read;
