Van Datum;Van Tijdstip;Tot Datum;Tot Tijdstip;EAN;Meter;Metertype;Register;Volume;Eenheid;Validatiestatus
12-10-2021;12:15:00;12-10-2021;12:30:00;="123456879123456789";1SAG12345678;Digitale Meter;Injectie Dag;0,000;kWh;Gevalideerd
12-10-2021;12:30:00;12-10-2021;12:45:00;="123456879123456789";1SAG12345678;Digitale Meter;Afname Dag;0,059;kWh;Gevalideerd
12-10-2021;12:30:00;12-10-2021;12:45:00;="123456879123456789";1SAG12345678;Digitale Meter;Injectie Dag;0,000;kWh;Gevalideerd
12-10-2021;12:45:00;12-10-2021;13:00:00;="123456879123456789";1SAG12345678;Digitale Meter;Afname Dag;0,050;kWh;Gevalideerd
12-10-2021;12:45:00;12-10-2021;13:00:00;="123456879123456789";1SAG12345678;Digitale Meter;Injectie Dag;0,000;kWh;Gevalideerd
12-10-2021;13:00:00;12-10-2021;13:15:00;="123456879123456789";1SAG12345678;Digitale Meter;Afname Dag;0,071;kWh;Gevalideerd
12-10-2021;13:00:00;12-10-2021;13:15:00;="123456879123456789";1SAG12345678;Digitale Meter;Injectie Dag;0,000;kWh;Gevalideerd
12-10-2021;13:15:00;12-10-2021;13:30:00;="123456879123456789";1SAG12345678;Digitale Meter;Afname Dag;0,035;kWh;Gevalideerd
12-10-2021;13:15:00;12-10-2021;13:30:00;="123456879123456789";1SAG12345678;Digitale Meter;Injectie Dag;0,000;kWh;Gevalideerd
12-10-2021;13:30:00;12-10-2021;13:45:00;="123456879123456789";1SAG12345678;Digitale Meter;Afname Dag;0,018;kWh;Gevalideerd
12-10-2021;13:30:00;12-10-2021;13:45:00;="123456879123456789";1SAG12345678;Digitale Meter;Injectie Dag;0,000;kWh;Gevalideerd
12-10-2021;13:45:00;12-10-2021;14:00:00;="123456879123456789";1SAG12345678;Digitale Meter;Afname Dag;0,033;kWh;Gevalideerd
12-10-2021;13:45:00;12-10-2021;14:00:00;="123456879123456789";1SAG12345678;Digitale Meter;Injectie Dag;0,000;kWh;Gevalideerd
12-10-2021;14:00:00;12-10-2021;14:15:00;="123456879123456789";1SAG12345678;Digitale Meter;Afname Dag;0,018;kWh;Gevalideerd
12-10-2021;14:00:00;12-10-2021;14:15:00;="123456879123456789";1SAG12345678;Digitale Meter;Injectie Dag;0,000;kWh;Gevalideerd
12-10-2021;14:15:00;12-10-2021;14:30:00;="123456879123456789";1SAG12345678;Digitale Meter;Afname Dag;0,022;kWh;Gevalideerd
12-10-2021;14:15:00;12-10-2021;14:30:00;="123456879123456789";1SAG12345678;Digitale Meter;Injectie Dag;0,000;kWh;Gevalideerd
12-10-2021;14:30:00;12-10-2021;14:45:00;="123456879123456789";1SAG12345678;Digitale Meter;Afname Dag;0,024;kWh;Gevalideerd
12-10-2021;14:30:00;12-10-2021;14:45:00;="123456879123456789";1SAG12345678;Digitale Meter;Injectie Dag;0,000;kWh;Gevalideerd
12-10-2021;14:45:00;12-10-2021;15:00:00;="123456879123456789";1SAG12345678;Digitale Meter;Afname Dag;0,011;kWh;Gevalideerd
12-10-2021;14:45:00;12-10-2021;15:00:00;="123456879123456789";1SAG12345678;Digitale Meter;Injectie Dag;0,000;kWh;Gevalideerd
12-10-2021;15:00:00;12-10-2021;15:15:00;="123456879123456789";1SAG12345678;Digitale Meter;Afname Dag;0,027;kWh;Gevalideerd
12-10-2021;15:00:00;12-10-2021;15:15:00;="123456879123456789";1SAG12345678;Digitale Meter;Injectie Dag;0,000;kWh;Gevalideerd
12-10-2021;15:15:00;12-10-2021;15:30:00;="123456879123456789";1SAG12345678;Digitale Meter;Afname Dag;0,019;kWh;Gevalideerd
12-10-2021;15:15:00;12-10-2021;15:30:00;="123456879123456789";1SAG12345678;Digitale Meter;Injectie Dag;0,000;kWh;Gevalideerd
12-10-2021;15:30:00;12-10-2021;15:45:00;="123456879123456789";1SAG12345678;Digitale Meter;Afname Dag;0,029;kWh;Gevalideerd
12-10-2021;15:30:00;12-10-2021;15:45:00;="123456879123456789";1SAG12345678;Digitale Meter;Injectie Dag;0,000;kWh;Gevalideerd
12-10-2021;15:45:00;12-10-2021;16:00:00;="123456879123456789";1SAG12345678;Digitale Meter;Afname Dag;0,013;kWh;Gevalideerd
12-10-2021;15:45:00;12-10-2021;16:00:00;="123456879123456789";1SAG12345678;Digitale Meter;Injectie Dag;0,000;kWh;Gevalideerd
12-10-2021;16:00:00;12-10-2021;16:15:00;="123456879123456789";1SAG12345678;Digitale Meter;Afname Dag;0,035;kWh;Gevalideerd
12-10-2021;16:00:00;12-10-2021;16:15:00;="123456879123456789";1SAG12345678;Digitale Meter;Injectie Dag;0,000;kWh;Gevalideerd
12-10-2021;16:15:00;12-10-2021;16:30:00;="123456879123456789";1SAG12345678;Digitale Meter;Afname Dag;0,013;kWh;Gevalideerd
12-10-2021;16:15:00;12-10-2021;16:30:00;="123456879123456789";1SAG12345678;Digitale Meter;Injectie Dag;0,000;kWh;Gevalideerd
12-10-2021;16:30:00;12-10-2021;16:45:00;="123456879123456789";1SAG12345678;Digitale Meter;Afname Dag;;kWh;Geen verbruik
12-10-2021;16:30:00;12-10-2021;16:45:00;="123456879123456789";1SAG12345678;Digitale Meter;Injectie Dag;;kWh;Geen verbruik
12-10-2021;16:45:00;12-10-2021;17:00:00;="123456879123456789";1SAG12345678;Digitale Meter;Afname Dag;;kWh;Geen verbruik
12-10-2021;16:45:00;12-10-2021;17:00:00;="123456879123456789";1SAG12345678;Digitale Meter;Injectie Dag;;kWh;Geen verbruik
12-10-2021;17:00:00;12-10-2021;17:15:00;="123456879123456789";1SAG12345678;Digitale Meter;Afname Dag;;kWh;Geen verbruik
12-10-2021;17:00:00;12-10-2021;17:15:00;="123456879123456789";1SAG12345678;Digitale Meter;Injectie Dag;;kWh;Geen verbruik
12-10-2021;17:15:00;12-10-2021;17:30:00;="123456879123456789";1SAG12345678;Digitale Meter;Afname Dag;;kWh;Geen verbruik
12-10-2021;17:15:00;12-10-2021;17:30:00;="123456879123456789";1SAG12345678;Digitale Meter;Injectie Dag;;kWh;Geen verbruik
12-10-2021;17:30:00;12-10-2021;17:45:00;="123456879123456789";1SAG12345678;Digitale Meter;Afname Dag;;kWh;Geen verbruik
12-10-2021;17:30:00;12-10-2021;17:45:00;="123456879123456789";1SAG12345678;Digitale Meter;Injectie Dag;;kWh;Geen verbruik
12-10-2021;17:45:00;12-10-2021;18:00:00;="123456879123456789";1SAG12345678;Digitale Meter;Afname Dag;;kWh;Geen verbruik
12-10-2021;17:45:00;12-10-2021;18:00:00;="123456879123456789";1SAG12345678;Digitale Meter;Injectie Dag;;kWh;Geen verbruik
12-10-2021;18:00:00;12-10-2021;18:15:00;="123456879123456789";1SAG12345678;Digitale Meter;Afname Dag;;kWh;Geen verbruik
