
name;ean;code;moment;moment-date;value;factor;type
Binnenhof18;871717720000051862;ellm;1751722200;2025-07-05 15:30:00;38903515;0.001;0
Binnenhof18;871717720000051862;ellm;1751723100;2025-07-05 15:45:00;38905996;0.001;0
Binnenhof18;871717720000051862;ellm;1751724000;2025-07-05 16:00:00;38908143;0.001;0
Binnenhof18;871717720000051862;ellm;1751724900;2025-07-05 16:15:00;38910548;0.001;0
Binnenhof18;871717720000051862;ellm;1751725800;2025-07-05 16:30:00;38911743;0.001;0
Binnenhof18;871717720000051862;ellm;1751726700;2025-07-05 16:45:00;38911744;0.001;0
Binnenhof18;871717720000051862;ellm;1751727600;2025-07-05 17:00:00;38911770;0.001;0
Binnenhof18;871717720000051862;ellm;1751728500;2025-07-05 17:15:00;38911770;0.001;0
Binnenhof18;871717720000051862;ellm;1751729400;2025-07-05 17:30:00;38911770;0.001;0
Binnenhof18;871717720000051862;ellm;1751730300;2025-07-05 17:45:00;38911773;0.001;0
Binnenhof18;871717720000051862;ellm;1751731200;2025-07-05 18:00:00;38911776;0.001;0
Binnenhof18;871717720000051862;ellm;1751732100;2025-07-05 18:15:00;38911780;0.001;0
Binnenhof18;871717720000051862;ellm;1751733000;2025-07-05 18:30:00;38911784;0.001;0
Binnenhof18;871717720000051862;ellm;1751733900;2025-07-05 18:45:00;38911789;0.001;0
Binnenhof18;871717720000051862;ellm;1751734800;2025-07-05 19:00:00;38911798;0.001;0
Binnenhof18;871717720000051862;ellm;1751735700;2025-07-05 19:15:00;38911859;0.001;0
Binnenhof18;871717720000051862;ellm;1751736600;2025-07-05 19:30:00;38911915;0.001;0
Binnenhof18;871717720000051862;ellm;1751737500;2025-07-05 19:45:00;38911927;0.001;0
Binnenhof18;871717720000051862;ellm;1751738400;2025-07-05 20:00:00;38911932;0.001;0
Binnenhof18;871717720000051862;ellm;1751739300;2025-07-05 20:15:00;38911969;0.001;0
Binnenhof18;871717720000051862;ellm;1751740200;2025-07-05 20:30:00;38912004;0.001;0
Binnenhof18;871717720000051862;ellm;1751741100;2025-07-05 20:45:00;38912067;0.001;0
Binnenhof18;871717720000051862;ellm;1751742000;2025-07-05 21:00:00;38912174;0.001;0
Binnenhof18;871717720000051862;ellm;1751742900;2025-07-05 21:15:00;38912302;0.001;0
Binnenhof18;871717720000051862;ellm;1751743800;2025-07-05 21:30:00;38912443;0.001;0
Binnenhof18;871717720000051862;ellm;1751744700;2025-07-05 21:45:00;38912697;0.001;0
Binnenhof18;871717720000051862;ellm;1751745600;2025-07-05 22:00:00;38912906;0.001;0
Binnenhof18;871717720000051862;ellm;1751746500;2025-07-05 22:15:00;38913099;0.001;0
Binnenhof18;871717720000051862;ellm;1751747400;2025-07-05 22:30:00;38913290;0.001;0
Binnenhof18;871717720000051862;ellm;1751748300;2025-07-05 22:45:00;38915992;0.001;0
Binnenhof18;871717720000051862;ellm;1751749200;2025-07-05 23:00:00;38916184;0.001;0
Binnenhof18;871717720000051862;ellm;1751750100;2025-07-05 23:15:00;38916376;0.001;0
Binnenhof18;871717720000051862;ellm;1751751000;2025-07-05 23:30:00;38916850;0.001;0
Binnenhof18;871717720000051862;ellm;1751751900;2025-07-05 23:45:00;38919392;0.001;0
Binnenhof18;871717720000051862;ellm;1751752800;2025-07-06 00:00:00;38919558;0.001;0
Binnenhof18;871717720000051862;ellm;1751753700;2025-07-06 00:15:00;38919994;0.001;0
Binnenhof18;871717720000051862;ellm;1751754600;2025-07-06 00:30:00;38922566;0.001;0
Binnenhof18;871717720000051862;ellm;1751755500;2025-07-06 00:45:00;38922731;0.001;0
Binnenhof18;871717720000051862;ellm;1751756400;2025-07-06 01:00:00;38922888;0.001;0
Binnenhof18;871717720000051862;ellm;1751757300;2025-07-06 01:15:00;38923313;0.001;0
Binnenhof18;871717720000051862;ellm;1751758200;2025-07-06 01:30:00;38926115;0.001;0
Binnenhof18;871717720000051862;ellm;1751759100;2025-07-06 01:45:00;38928888;0.001;0
Binnenhof18;871717720000051862;ellm;1751760000;2025-07-06 02:00:00;38931637;0.001;0
Binnenhof18;871717720000051862;ellm;1751760900;2025-07-06 02:15:00;38934384;0.001;0
Binnenhof18;871717720000051862;ellm;1751761800;2025-07-06 02:30:00;38936882;0.001;0
Binnenhof18;871717720000051862;ellm;1751762700;2025-07-06 02:45:00;38936981;0.001;0
Binnenhof18;871717720000051862;ellm;1751763600;2025-07-06 03:00:00;38937069;0.001;0
Binnenhof18;871717720000051862;ellm;1751764500;2025-07-06 03:15:00;38937162;0.001;0
Binnenhof18;871717720000051862;ellm;1751765400;2025-07-06 03:30:00;38937251;0.001;0
Binnenhof18;871717720000051862;ellm;1751766300;2025-07-06 03:45:00;38937347;0.001;0
Binnenhof18;871717720000051862;ellm;1751767200;2025-07-06 04:00:00;38937623;0.001;0
Binnenhof18;871717720000051862;ellm;1751768100;2025-07-06 04:15:00;38938016;0.001;0
Binnenhof18;871717720000051862;ellm;1751769000;2025-07-06 04:30:00;38938440;0.001;0
Binnenhof18;871717720000051862;ellm;1751769900;2025-07-06 04:45:00;38938914;0.001;0
Binnenhof18;871717720000051862;ellm;1751770800;2025-07-06 05:00:00;38939415;0.001;0
Binnenhof18;871717720000051862;ellm;1751771700;2025-07-06 05:15:00;38939898;0.001;0
Binnenhof18;871717720000051862;ellm;1751772600;2025-07-06 05:30:00;38939990;0.001;0
Binnenhof18;871717720000051862;ellm;1751773500;2025-07-06 05:45:00;38940080;0.001;0
Binnenhof18;871717720000051862;ellm;1751774400;2025-07-06 06:00:00;38940167;0.001;0
Binnenhof18;871717720000051862;ellm;1751775300;2025-07-06 06:15:00;38940255;0.001;0
Binnenhof18;871717720000051862;ellm;1751776200;2025-07-06 06:30:00;38940318;0.001;0
Binnenhof18;871717720000051862;ellm;1751777100;2025-07-06 06:45:00;38940371;0.001;0
Binnenhof18;871717720000051862;ellm;1751778000;2025-07-06 07:00:00;38940460;0.001;0
Binnenhof18;871717720000051862;ellm;1751778900;2025-07-06 07:15:00;38943193;0.001;0
Binnenhof18;871717720000051862;ellm;1751779800;2025-07-06 07:30:00;38945781;0.001;0
Binnenhof18;871717720000051862;ellm;1751780700;2025-07-06 07:45:00;38945790;0.001;0
Binnenhof18;871717720000051862;ellm;1751781600;2025-07-06 08:00:00;38945804;0.001;0
Binnenhof18;871717720000051862;ellm;1751782500;2025-07-06 08:15:00;38945805;0.001;0
Binnenhof18;871717720000051862;ellm;1751783400;2025-07-06 08:30:00;38945809;0.001;0
Binnenhof18;871717720000051862;ellm;1751784300;2025-07-06 08:45:00;38946075;0.001;0
Binnenhof18;871717720000051862;ellm;1751785200;2025-07-06 09:00:00;38948719;0.001;0
Binnenhof18;871717720000051862;ellm;1751786100;2025-07-06 09:15:00;38949502;0.001;0
Binnenhof18;871717720000051862;ellm;1751787000;2025-07-06 09:30:00;38949504;0.001;0
Binnenhof18;871717720000051862;ellm;1751787900;2025-07-06 09:45:00;38949507;0.001;0
Binnenhof18;871717720000051862;ellm;1751788800;2025-07-06 10:00:00;38949510;0.001;0
Binnenhof18;871717720000051862;ellm;1751789700;2025-07-06 10:15:00;38949514;0.001;0
Binnenhof18;871717720000051862;ellm;1751790600;2025-07-06 10:30:00;38949518;0.001;0
Binnenhof18;871717720000051862;ellm;1751791500;2025-07-06 10:45:00;38949521;0.001;0
Binnenhof18;871717720000051862;ellm;1751792400;2025-07-06 11:00:00;38949521;0.001;0
Binnenhof18;871717720000051862;ellm;1751793300;2025-07-06 11:15:00;38949524;0.001;0
Binnenhof18;871717720000051862;ellm;1751794200;2025-07-06 11:30:00;38949963;0.001;0
Binnenhof18;871717720000051862;ellm;1751795100;2025-07-06 11:45:00;38952556;0.001;0
Binnenhof18;871717720000051862;ellm;1751796000;2025-07-06 12:00:00;38954798;0.001;0
Binnenhof18;871717720000051862;ellm;1751796900;2025-07-06 12:15:00;38954807;0.001;0
Binnenhof18;871717720000051862;ellm;1751797800;2025-07-06 12:30:00;38954808;0.001;0
Binnenhof18;871717720000051862;ellm;1751798700;2025-07-06 12:45:00;38954812;0.001;0
Binnenhof18;871717720000051862;ellm;1751799600;2025-07-06 13:00:00;38954816;0.001;0
Binnenhof18;871717720000051862;ellm;1751800500;2025-07-06 13:15:00;38954825;0.001;0
Binnenhof18;871717720000051862;ellm;1751801400;2025-07-06 13:30:00;38954846;0.001;0
Binnenhof18;871717720000051862;ellm;1751802300;2025-07-06 13:45:00;38954846;0.001;0
Binnenhof18;871717720000051862;ellm;1751803200;2025-07-06 14:00:00;38954849;0.001;0
Binnenhof18;871717720000051862;ellm;1751804100;2025-07-06 14:15:00;38954853;0.001;0
Binnenhof18;871717720000051862;ellm;1751805000;2025-07-06 14:30:00;38954853;0.001;0
Binnenhof18;871717720000051862;ellm;1751805900;2025-07-06 14:45:00;38954853;0.001;0
Binnenhof18;871717720000051862;ellm;1751806800;2025-07-06 15:00:00;38954853;0.001;0
Binnenhof18;871717720000051862;ellm;1751807700;2025-07-06 15:15:00;38954856;0.001;0
Binnenhof18;871717720000051862;ellm;1751808600;2025-07-06 15:30:00;38954857;0.001;0
Binnenhof18;871717720000051862;ellm;1751809500;2025-07-06 15:45:00;38954862;0.001;0
